sample.ID	S	reference
HG01867	0.104722523638935	TRUE
HG01868	0.0920633852640758	TRUE
HG01869	0.102901756115075	TRUE
HG01870	0.0886812759637293	TRUE
HG01871	0.111633701917286	TRUE
HG01872	0.139530098285494	TRUE
HG01873	0.100210891644295	TRUE
HG01874	0.0858601229096415	TRUE
HG01878	0.109056005263351	TRUE
HG01879	0.184757851754477	TRUE
HG01880	0.356188210792191	TRUE
HG01882	0.18504655826837	TRUE
HG01883	0.163704046858253	TRUE
HG01885	0.163810182884407	TRUE
HG01886	0.160737345082724	TRUE
HG01889	0.230842242598587	TRUE
HG01890	0.165663439363969	TRUE
HG01892	0.167608899647533	TRUE
HG01893	0.152568098455848	TRUE
HG01894	0.169678990268308	TRUE
HG01896	0.179792893618582	TRUE
HG01912	0.180371800378351	TRUE
HG01914	0.1578827660001	TRUE
HG01915	0.231550190752222	TRUE
HG01917	0.132373284423224	TRUE
HG01918	0.130975474512933	TRUE
HG01920	0.0996749459686357	TRUE
HG01921	0.138800841910112	TRUE
HG01923	0.122944434695938	TRUE
HG01924	0.139475429481402	TRUE
HG01926	0.132011075082051	TRUE
HG01927	0.136097167249801	TRUE
HG01932	0.128515024016205	TRUE
HG01933	0.172008350299442	TRUE
HG01935	0.147585357248353	TRUE
HG01936	0.148059823777032	TRUE
HG01938	0.151710651164304	TRUE
HG01939	0.129653782668286	TRUE
HG01941	0.155142389098491	TRUE
HG01942	0.107561871930251	TRUE
HG01944	0.192846671169214	TRUE
HG01945	0.126808000656811	TRUE
HG01947	0.171521107687752	TRUE
HG01948	0.157320843333289	TRUE
HG01950	0.161339244114804	TRUE
HG01951	0.14162885486975	TRUE
HG01953	0.133262574148998	TRUE
HG01954	0.114216291331673	TRUE
HG01956	0.16217006715727	TRUE
HG01958	0.171769541059761	TRUE
HG01961	0.151176615077486	TRUE
HG01965	0.154376099746677	TRUE
HG01967	0.110244295939345	TRUE
HG01968	0.112381505784393	TRUE
HG01970	0.149769472635202	TRUE
HG01971	0.198296522600527	TRUE
HG01973	0.124427048463463	TRUE
HG01974	0.14254973415475	TRUE
HG01976	0.159462328186892	TRUE
HG01977	0.146121444509151	TRUE
HG01979	0.14819361377184	TRUE
HG01980	0.14398431136338	TRUE
HG01982	0.116525981583971	TRUE
HG01985	0.142104695533775	TRUE
HG01986	0.19282754826302	TRUE
HG01988	0.219587431533538	TRUE
HG01989	0.183152893468517	TRUE
HG01990	0.167541276136074	TRUE
HG01991	0.137659912568047	TRUE
HG01992	0.114701840616782	TRUE
HG01997	0.122447055622605	TRUE
HG02002	0.147663623874722	TRUE
HG02003	0.149400524014956	TRUE
HG02006	0.248463990951905	TRUE
HG02008	0.135245533326256	TRUE
HG02009	0.228321105587692	TRUE
HG02010	0.237652364133421	TRUE
HG02012	0.173031493791625	TRUE
HG02013	0.188154947777665	TRUE
HG02014	0.230933033940016	TRUE
HG02016	0.13858823235498	TRUE
HG02017	0.0941823367214565	TRUE
