sample.ID	sex	Population	Population.Description	Super.Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG00117	1	GBR	British in England and Scotland	EUR	97.1255943892503	140.241697289703	-27.3732776023904	-44.3348309852934	-16.1513901777885	-0.992208419772729	-5.55682716946301	-0.587637878331464	-2.48691987897832	-10.3982960384629	24.0953360258329	-23.6486160219345	-11.3711724724231	25.3775858909609	8.92628131809018	11.6173824432466	-13.1685139270433	-1.62486012666544	-7.92012716986989	-0.503971328024265
HG00118	2	GBR	British in England and Scotland	EUR	97.4897243245239	141.061136772079	-27.780374442217	-43.3783261064749	-12.8499300283467	0.565284427365264	-9.79494314766236	-0.275854039618649	-4.9342110320608	-12.388874819993	34.2538054219404	-18.925426963709	-6.98678181639277	28.3215463203391	7.41329750101145	16.1377220685909	-11.569673808954	-2.44447271121041	-2.03613579084679	1.30448801076587
HG00119	1	GBR	British in England and Scotland	EUR	95.4576699336045	141.162032946329	-29.8007140667298	-46.5038116761439	-14.8635153221625	0.708855475768728	-6.38475004301973	-0.368769624203903	-8.220567501667	-11.8955918114411	31.0559178137829	-17.256524877988	-7.60194057990731	35.7262010886914	17.8355954605096	17.0582299740143	-6.17417104034507	-0.790486834017387	1.20791835709643	-0.561748003191
HG00120	2	GBR	British in England and Scotland	EUR	96.8208756074068	143.830416663347	-28.7288897082511	-48.0369028929988	-14.9379470387444	0.148147787685501	-4.90890855323228	-3.03812421479922	-9.22989079068911	-13.2996848131646	30.832081691081	-25.9349600042929	-12.8061260675246	29.8836660194699	9.02474869742052	23.7448797500058	-11.2581751650938	-6.63474567345493	-5.56857461920421	-0.571905382820669
HG00121	2	GBR	British in England and Scotland	EUR	97.4507591643696	141.016315242999	-27.1780763837376	-44.7983271911708	-19.977703358129	1.33719505262605	-9.92094179142365	0.506332427377249	-4.18891571594282	-10.8179976197887	30.9780887185265	-22.5809882257292	-10.3680461908291	31.4877568277039	11.931632585686	9.34899364054303	-11.4643597908888	1.2230526377421	-4.1356766649265	-4.02054597454815
HG00122	2	GBR	British in England and Scotland	EUR	96.1214855027491	140.72960057188	-28.2493039880995	-46.2527749850945	-11.6111895353943	-0.0716557855279697	-6.91300176504633	0.262502137623874	-8.88709856219886	-12.8634237177775	26.9153687433355	-19.4981767757639	-8.52835107758641	23.5705517482762	10.0420285556098	6.73178079083356	-10.1228092717324	-5.57220943427875	4.17674193986759	-3.72285802901629
HG00123	2	GBR	British in England and Scotland	EUR	95.0219451485485	142.534625443174	-22.9093736965847	-43.2090440278342	-17.6339145348895	3.27547264137359	-7.07374669241525	1.85485128200633	-11.1565121863569	-11.1155026415505	29.8284842402175	-28.6973289315134	-15.81828382222	30.9865323232701	14.9251615308033	15.6011039499957	-6.54207401405467	8.14713821345937	-8.90109691573134	-4.61402280050346
HG00125	2	GBR	British in England and Scotland	EUR	95.8175356622724	139.081639907792	-28.3839958420128	-43.5894948781786	-15.6681748452641	1.89908505241204	-5.21042235386099	-0.0368790557629981	-6.5474618367308	-15.1773585764276	25.9329951995267	-24.6178445174225	-22.1650739840121	27.7787686479066	4.78858851405156	11.714439888889	-8.97602241626586	8.9119999548681	-5.73232715492613	-2.08114101859029
HG00126	1	GBR	British in England and Scotland	EUR	96.568801177715	144.123866893285	-26.4245414725237	-47.5109342582648	-10.2950991277492	-0.477211680983223	-2.98883849943665	-1.3032883950195	-1.61429694130146	-9.02093977791668	23.2744430400405	-13.0450121827259	-13.1745983685342	18.7813254541317	0.0509115975595975	7.08302457467118	-4.34022667201027	-9.60585300539951	-3.2498261046173	-0.502104595277351
HG00127	2	GBR	British in England and Scotland	EUR	97.1016709431092	143.376631936922	-27.0959655004801	-46.7593360158382	-7.56115445413376	-0.0418719722558273	-7.18805810811738	-1.50977066202788	-1.81013106883021	-10.3103058909028	26.2085438834944	-17.8525968430397	-11.5362028724267	22.1079430211078	7.79752104260095	7.0708019618155	-8.68329740590077	-9.19797699294201	-0.739463517829158	-2.1398255791529
HG00128	2	GBR	British in England and Scotland	EUR	95.5791565554246	143.439347102085	-25.2812807853755	-48.5589615428086	-8.53894252770415	0.226213782531828	-6.66678684085407	-1.73242518822573	-5.60633605744917	-12.8927975339897	23.2809297923315	-23.0833153891792	-4.32410146072339	22.0772058372429	3.004352549425	1.38793893839459	-2.91515089274368	-4.15199716111112	-6.30562752125372	-5.16988588444688
HG00129	1	GBR	British in England and Scotland	EUR	96.5105238821768	140.734739203621	-27.2341491669802	-45.3647838448445	-15.2721048446646	1.21645903695799	-5.1430255330912	0.15527031373833	1.77565781809223	-7.52754977515602	18.9218629982353	-21.2323649373312	-6.12526735598846	17.8963228950942	4.16593423221786	15.2293784424887	-2.64734156408304	-2.10184595951625	2.07215258242893	3.87391973659553
HG00130	2	GBR	British in England and Scotland	EUR	94.5831130108744	143.492954791223	-25.6210194602545	-50.1509838628476	-8.02854779624731	-0.449231992159905	-1.27306680305134	-0.308107645667461	1.61997449263773	-12.5675298603491	28.587933113577	-17.3307036415451	-1.66835946677618	23.1745085115225	9.27318729099236	9.77688154869081	-4.73150885588565	-0.711303882536285	4.15165349532515	0.00298937776785744
HG00131	1	GBR	British in England and Scotland	EUR	95.3544358942264	139.582837128005	-27.2270247470338	-47.1459096229058	-9.36349169974759	0.505393659558705	-3.85923870355739	-2.04029944459114	-2.21676053116904	-10.8033466954474	23.0990709628995	-10.2496292394758	-1.5719667428908	23.1736447068657	0.529182753743158	11.8571959594121	-1.40797010116082	4.50208099910583	-2.14203974722079	-0.302789506073723
HG00132	2	GBR	British in England and Scotland	EUR	95.4250582160677	142.329340525485	-24.9149061959022	-46.078965417448	-7.09149620502983	1.38136712566134	-2.65253274129958	-2.55187392937885	-4.62374899883521	-12.6163821953827	24.4257615372176	-18.7259564724319	-10.7951939413047	20.1674725842002	6.45019610851992	6.02735042550988	-5.47626716744961	-1.24552627970218	3.95674321615811	-0.520846085562496
HG00133	2	GBR	British in England and Scotland	EUR	95.9514033673449	142.552077108652	-26.4565068978756	-45.9545628140534	-6.65937559196314	-0.265680699225015	-5.60291351181641	-1.92444704319219	-4.2817991412092	-10.1238245314187	23.5718065900912	-14.0151767346882	-3.21007165913719	24.8137392667646	-0.288212742861878	5.02701035589103	-5.55521691246555	-2.11593394334961	-0.505236276503137	4.22408608274941
HG00136	1	GBR	British in England and Scotland	EUR	96.8605467843099	139.756248730677	-27.6143922228137	-45.9739823295408	-11.7932917405795	2.06391842389632	-5.11451129828877	-0.595526226114606	-4.09935764294635	-7.55595408952791	21.5382509959155	-18.8657029426236	-14.4227954058949	20.897051267888	1.28640996165247	13.0969108512546	-4.36225292126583	3.68648626698229	-4.79917967373661	-9.37920108504349
HG00137	2	GBR	British in England and Scotland	EUR	96.4579873312779	140.865186778978	-27.1669076128725	-47.4181414725213	-10.5438836231025	1.69939725522111	-5.881121671515	0.889761480791238	-6.8443230367299	-12.3852168057671	24.1225398370006	-16.5489592367439	-3.27188954929443	27.7220178003183	8.69733369704447	9.1727483994583	-6.4343250344677	-1.19029394039264	-3.80027509372425	1.06299601985706
HG00138	1	GBR	British in England and Scotland	EUR	95.0152236554859	142.093881984423	-28.3746147288918	-47.2138777516287	-11.7487962101025	0.858114719871106	-4.22784810292647	-1.49931042749464	-3.42987371368492	-9.32227521603305	21.6770430364281	-15.3608448118768	-8.33460485965961	18.0378684480905	9.15687027742073	7.76005969082904	-0.923193355922505	-2.41774945845856	4.19828263040386	-0.554930708105298
HG00139	1	GBR	British in England and Scotland	EUR	96.4045177806395	143.859704246056	-27.8858410144599	-49.3778471603158	-9.3073797109275	0.992857390948054	-1.97403066762473	-0.150131898494786	-4.60595479259293	-9.34326286133827	19.0809808453433	-15.8358978934386	-5.84112370060073	19.323761794538	2.50604753912543	10.5442608220311	-4.59445860520515	1.93714729201509	-4.96384653413375	0.833982725875594
HG00140	1	GBR	British in England and Scotland	EUR	97.0941761540268	139.921241975991	-25.8367980884961	-46.436891606775	-14.0321285223637	0.800176432050205	-4.32336473315531	-0.612727256259322	-1.79936879098259	-9.12455547625212	25.2520960799102	-22.0120821015634	-4.6419499069555	20.0365869590026	12.6870124720434	7.11307852534349	-2.86255102177368	2.58980601370503	-8.0292597136118	0.965820307248857
